trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_541173_b_27473_tn_13,16:20:00,16:20:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,16:49:00,16:49:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,16:51:03,16:51:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,16:52:06,16:52:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,16:55:00,16:55:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,16:59:19,16:59:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,17:03:00,17:03:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,17:05:39,17:05:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_14,17:08:00,17:08:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:37:00,17:37:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:39:03,17:39:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:40:06,17:40:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:43:00,17:43:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:47:19,17:47:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:51:00,17:51:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:53:39,17:53:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_15,17:56:00,17:56:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:25:00,18:25:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:27:03,18:27:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:28:06,18:28:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:31:00,18:31:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:35:19,18:35:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:39:00,18:39:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:41:39,18:41:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_16,18:44:00,18:44:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:13:00,19:13:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:15:03,19:15:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:16:06,19:16:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:19:00,19:19:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:23:19,19:23:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
