service_id,date,exception_type
20190114_99991231_1000000,20190121,2
20190114_99991231_1000000,20190902,2
20190114_99991231_1000000,20200525,2
20190114_99991231_1000000,20200703,2
20190114_99991231_1000000,20201111,2
20190114_99991231_1000000,20201126,2
20190114_99991231_1000000,20201127,2
20190114_99991231_1000000,20201225,2
20190114_99991231_1000000,20210215,2
