stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Pulaski Hwy/US 40 & Oakington Rd_Pulaski Hwy/US 40 & Oakington Rd_39.524473_-76.138199,,Pulaski Hwy/US 40 & Oakington Rd,,39.524473,-76.138199,,0,,,
Clark Rd (turnaround loop)_Clark Rd (turnaround loop)_39.530468_-76.115922,,Clark Rd (turnaround loop),,39.530468,-76.115922,,0,,,
Havre de Grace Parks & Rec (Lewis Ln & Anderson Ave)_Havre de Grace Parks & Rec (Lewis Ln & Anderson Ave)_39.544049_-76.103662,,Havre de Grace Parks & Rec (Lewis Ln & Anderson Ave),,39.544049,-76.103662,,0,,,
Lindy's Market (Aiken Ave)_Lindy's Market (Aiken Ave)_39.568725_-76.070550,,Lindy's Market (Aiken Ave),,39.568725,-76.07055,,0,,,
Concord Apartments (Aiken Ave & Concord Dr)_Concord Apartments (Aiken Ave & Concord Dr)_39.562366_-76.071134,,Concord Apartments (Aiken Ave & Concord Dr),,39.562366,-76.071134,,0,,,
Perryville United Methodist Church (Broad St)_Perryville United Methodist Church (Broad St)_39.558497_-76.075018,,Perryville United Methodist Church (Broad St),,39.558497,-76.075018,,0,,,
Perry Point VA - Fire Station (Ave D)_Perry Point VA - Fire Station (Ave D)_39.554990_-76.072050,,Perry Point VA - Fire Station (Ave D),,39.55499,-76.07205,,0,,,
Perryville Train Station (Broad St)_Perryville Train Station (Broad St)_39.558908_-76.074013,,Perryville Train Station (Broad St),,39.558908,-76.074013,,0,,,
Perryville Post Office (Broad St)_Perryville Post Office (Broad St)_39.559830_-76.071930,,Perryville Post Office (Broad St),,39.55983,-76.07193,,0,,,
Route 7 & IKEA Rd_Route 7 & IKEA Rd_39.563008_-76.065067,,Route 7 & IKEA Rd,,39.563008,-76.065067,,0,,,
Perryville Library (500 Coudon Blvd)_Perryville Library (500 Coudon Blvd)_39.568854_-76.064657,,Perryville Library (500 Coudon Blvd),,39.568854,-76.064657,,0,,,
Amazon Fulfillment Center (Principio Pkwy West)_Amazon Fulfillment Center (Principio Pkwy West)_39.594059_-76.004269,,Amazon Fulfillment Center (Principio Pkwy West),,39.594059,-76.004269,,0,,,
Lidl Distribution Center (Belvidere Rd)_Lidl Distribution Center (Belvidere Rd)_39.582749_-76.021637,,Lidl Distribution Center (Belvidere Rd),,39.582749,-76.021637,,0,,,
