service_id,date,exception_type
63,20201002,1
63,20201009,1
64,20200504,1
64,20200505,1
64,20200506,1
64,20200507,1
64,20200511,1
64,20200512,1
64,20200513,1
64,20200514,1
64,20200518,1
64,20200519,1
64,20200520,1
64,20200521,1
64,20200526,1
64,20200527,1
64,20200528,1
64,20200601,1
64,20200602,1
64,20200603,1
64,20200604,1
64,20200608,1
64,20200609,1
64,20200610,1
64,20200611,1
64,20200615,1
64,20200616,1
64,20200617,1
64,20200618,1
64,20200622,1
64,20200623,1
64,20200624,1
64,20200625,1
64,20200629,1
64,20200630,1
64,20200701,1
64,20200702,1
64,20200706,1
64,20200707,1
64,20200708,1
64,20200709,1
64,20200713,1
64,20200714,1
64,20200715,1
64,20200716,1
64,20200720,1
64,20200721,1
64,20200722,1
64,20200723,1
64,20200727,1
64,20200728,1
64,20200729,1
64,20200730,1
64,20200803,1
64,20200804,1
64,20200805,1
64,20200806,1
64,20200810,1
64,20200811,1
64,20200812,1
64,20200813,1
64,20200817,1
64,20200818,1
64,20200819,1
64,20200820,1
64,20200824,1
64,20200825,1
64,20200826,1
64,20200827,1
64,20200831,1
64,20200901,1
64,20200902,1
64,20200903,1
64,20200907,1
64,20200908,1
64,20200909,1
64,20200910,1
64,20200914,1
64,20200915,1
64,20200916,1
64,20200917,1
64,20200921,1
64,20200922,1
64,20200923,1
64,20200924,1
64,20200928,1
64,20200929,1
64,20200930,1
64,20201001,1
64,20201005,1
64,20201006,1
64,20201007,1
64,20201008,1
65,20200415,1
65,20200416,1
65,20200417,1
65,20200420,1
65,20200421,1
65,20200422,1
65,20200423,1
65,20200424,1
65,20200427,1
65,20200428,1
65,20200429,1
65,20200430,1
65,20200501,1
65,20200502,1
65,20200503,1
65,20200510,1
65,20200517,1
65,20200524,1
65,20200525,1
65,20200531,1
65,20200607,1
65,20200614,1
65,20200621,1
65,20200628,1
65,20200705,1
65,20200712,1
65,20200719,1
65,20200726,1
65,20200802,1
65,20200809,1
65,20200816,1
65,20200823,1
65,20200830,1
65,20200906,1
65,20200913,1
65,20200920,1
65,20200927,1
65,20201004,1
65,20201011,1
66,20200415,1
66,20200416,1
66,20200417,1
66,20200418,1
66,20200419,1
66,20200420,1
66,20200421,1
66,20200422,1
66,20200423,1
66,20200424,1
66,20200425,1
66,20200426,1
66,20200427,1
66,20200428,1
66,20200429,1
66,20200430,1
66,20200501,1
66,20200502,1
66,20200503,1
66,20200510,1
66,20200517,1
66,20200524,1
66,20200525,1
66,20200531,1
66,20200607,1
66,20200614,1
66,20200621,1
66,20200628,1
66,20200705,1
66,20200712,1
66,20200719,1
66,20200726,1
66,20200802,1
66,20200809,1
66,20200816,1
66,20200823,1
66,20200830,1
66,20200906,1
66,20200913,1
66,20200920,1
66,20200927,1
66,20201004,1
66,20201011,1
67,20200415,1
67,20200416,1
67,20200417,1
67,20200420,1
67,20200421,1
67,20200422,1
67,20200423,1
67,20200424,1
67,20200427,1
67,20200428,1
67,20200429,1
67,20200430,1
67,20200501,1
71,20200418,1
71,20200419,1
72,20200425,1
72,20200502,1
72,20200509,1
72,20200516,1
72,20200523,1
72,20200530,1
72,20200606,1
72,20200613,1
72,20200620,1
72,20200627,1
72,20200704,1
72,20200711,1
72,20200718,1
72,20200725,1
72,20200801,1
72,20200808,1
72,20200815,1
72,20200822,1
72,20200829,1
72,20200905,1
72,20200912,1
72,20200919,1
72,20200926,1
72,20201003,1
72,20201010,1
73,20200426,1
73,20200503,1
73,20200510,1
73,20200517,1
73,20200524,1
73,20200531,1
73,20200607,1
73,20200614,1
73,20200621,1
73,20200628,1
73,20200705,1
73,20200712,1
73,20200719,1
73,20200726,1
73,20200802,1
73,20200809,1
73,20200816,1
73,20200823,1
73,20200830,1
73,20200906,1
73,20200913,1
73,20200920,1
73,20200927,1
73,20201004,1
73,20201011,1
74,20200508,1
74,20200515,1
74,20200522,1
74,20200529,1
74,20200605,1
74,20200612,1
74,20200619,1
74,20200626,1
74,20200703,1
74,20200710,1
74,20200717,1
74,20200724,1
74,20200731,1
74,20200807,1
74,20200814,1
74,20200821,1
74,20200828,1
74,20200904,1
74,20200911,1
74,20200918,1
74,20200925,1
74,20201002,1
74,20201009,1
75,20200504,1
75,20200505,1
75,20200506,1
75,20200507,1
75,20200511,1
75,20200512,1
75,20200513,1
75,20200514,1
75,20200518,1
75,20200519,1
75,20200520,1
75,20200521,1
75,20200525,1
75,20200526,1
75,20200527,1
75,20200528,1
75,20200601,1
75,20200602,1
75,20200603,1
75,20200604,1
75,20200608,1
75,20200609,1
75,20200610,1
75,20200611,1
75,20200615,1
75,20200616,1
75,20200617,1
75,20200618,1
75,20200622,1
75,20200623,1
75,20200624,1
75,20200625,1
75,20200629,1
75,20200630,1
75,20200701,1
75,20200702,1
75,20200706,1
75,20200707,1
75,20200708,1
75,20200709,1
75,20200713,1
75,20200714,1
75,20200715,1
75,20200716,1
75,20200720,1
75,20200721,1
75,20200722,1
75,20200723,1
75,20200727,1
75,20200728,1
75,20200729,1
75,20200730,1
75,20200803,1
75,20200804,1
75,20200805,1
75,20200806,1
75,20200810,1
75,20200811,1
75,20200812,1
75,20200813,1
