route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id
RED,72,3238493_18359,"GLENMONT",0,,2,3238493
RED,72,3238424_18359,"GLENMONT",0,,2,3238424
RED,72,3238494_18359,"GLENMONT",0,,2,3238494
RED,72,3238425_18359,"GLENMONT",0,,2,3238425
RED,72,3238495_18359,"GLENMONT",0,,2,3238495
RED,72,3238426_18359,"GLENMONT",0,,2,3238426
RED,72,3238496_18359,"GLENMONT",0,,2,3238496
RED,72,3238427_18359,"GLENMONT",0,,2,3238427
RED,72,3238497_18359,"GLENMONT",0,,2,3238497
RED,72,3238428_18359,"GLENMONT",0,,2,3238428
RED,72,3238498_18359,"GLENMONT",0,,2,3238498
RED,72,3238429_18359,"GLENMONT",0,,2,3238429
RED,72,3238499_18359,"GLENMONT",0,,2,3238499
RED,72,3238430_18359,"GLENMONT",0,,2,3238430
RED,72,3238500_18359,"GLENMONT",0,,2,3238500
RED,72,3238431_18359,"GLENMONT",0,,2,3238431
RED,72,3238501_18359,"GLENMONT",0,,2,3238501
RED,72,3238432_18359,"GLENMONT",0,,2,3238432
RED,72,3238502_18359,"GLENMONT",0,,2,3238502
RED,72,3238433_18359,"GLENMONT",0,,2,3238433
RED,72,3238503_18359,"GLENMONT",0,,2,3238503
RED,72,3238515_18359,"GLENMONT",0,,2,3238515
RED,72,3238504_18359,"GLENMONT",0,,2,3238504
RED,72,3238434_18359,"GLENMONT",0,,2,3238434
RED,72,3238505_18359,"GLENMONT",0,,2,3238505
RED,72,3238435_18359,"GLENMONT",0,,2,3238435
RED,72,3238506_18359,"GLENMONT",0,,2,3238506
RED,72,3238436_18359,"GLENMONT",0,,2,3238436
RED,72,3238507_18359,"GLENMONT",0,,2,3238507
RED,72,3238437_18359,"GLENMONT",0,,2,3238437
RED,72,3238508_18359,"GLENMONT",0,,2,3238508
RED,72,3238438_18359,"GLENMONT",0,,2,3238438
RED,72,3238509_18359,"GLENMONT",0,,2,3238509
RED,72,3238439_18359,"GLENMONT",0,,2,3238439
RED,72,3238510_18359,"GLENMONT",0,,2,3238510
RED,72,3238440_18359,"GLENMONT",0,,2,3238440
RED,72,3238511_18359,"GLENMONT",0,,2,3238511
RED,72,3238441_18359,"GLENMONT",0,,2,3238441
RED,72,3238512_18359,"GLENMONT",0,,2,3238512
RED,72,3238442_18359,"GLENMONT",0,,2,3238442
RED,72,3238513_18359,"GLENMONT",0,,2,3238513
RED,72,3238443_18359,"GLENMONT",0,,2,3238443
RED,72,3238514_18359,"GLENMONT",0,,2,3238514
RED,72,3238444_18359,"GLENMONT",0,,2,3238444
RED,72,3238516_18359,"GLENMONT",0,,2,3238516
RED,72,3238469_18359,"GLENMONT",0,,2,3238469
RED,72,3238517_18359,"GLENMONT",0,,2,3238517
RED,72,3238445_18359,"GLENMONT",0,,2,3238445
RED,72,3238518_18359,"GLENMONT",0,,2,3238518
RED,72,3238446_18359,"GLENMONT",0,,2,3238446
RED,72,3238519_18359,"GLENMONT",0,,2,3238519
RED,72,3238447_18359,"GLENMONT",0,,2,3238447
RED,72,3238520_18359,"GLENMONT",0,,2,3238520
RED,72,3238448_18359,"GLENMONT",0,,2,3238448
RED,72,3238521_18359,"GLENMONT",0,,2,3238521
RED,72,3238449_18359,"GLENMONT",0,,2,3238449
RED,72,3238522_18359,"GLENMONT",0,,2,3238522
RED,72,3238450_18359,"GLENMONT",0,,2,3238450
RED,72,3238523_18359,"GLENMONT",0,,2,3238523
RED,72,3238451_18359,"GLENMONT",0,,2,3238451
RED,72,3238524_18359,"GLENMONT",0,,2,3238524
RED,72,3238452_18359,"GLENMONT",0,,2,3238452
RED,72,3238453_18359,"GLENMONT",0,,2,3238453
RED,72,3238454_18359,"GLENMONT",0,,2,3238454
RED,72,3238455_18359,"GLENMONT",0,,2,3238455
RED,72,3238456_18359,"GLENMONT",0,,2,3238456
RED,72,3238457_18359,"GLENMONT",0,,2,3238457
RED,72,3238458_18359,"GLENMONT",0,,2,3238458
RED,72,3238459_18359,"GLENMONT",0,,2,3238459
RED,72,3238460_18359,"GLENMONT",0,,2,3238460
RED,72,3238461_18359,"GLENMONT",0,,2,3238461
RED,72,3238462_18359,"GLENMONT",0,,2,3238462
RED,72,3238463_18359,"GLENMONT",0,,2,3238463
RED,72,3238464_18359,"GLENMONT",0,,2,3238464
RED,72,3238465_18359,"GLENMONT",0,,2,3238465
RED,72,3238466_18359,"GLENMONT",0,,2,3238466
RED,72,3238467_18359,"GLENMONT",0,,2,3238467
RED,72,3238664_18359,"GLENMONT",0,,2,3238664
RED,72,3238665_18359,"GLENMONT",0,,2,3238665
RED,72,3238666_18359,"GLENMONT",0,,2,3238666
RED,72,3238667_18359,"GLENMONT",0,,2,3238667
RED,72,3238468_18359,"GLENMONT",0,,2,3238468
RED,73,3238122_18359,"GLENMONT",0,,3,3238122
RED,73,3238123_18359,"GLENMONT",0,,3,3238123
RED,73,3238124_18359,"GLENMONT",0,,3,3238124
RED,73,3238125_18359,"GLENMONT",0,,3,3238125
RED,73,3238126_18359,"GLENMONT",0,,3,3238126
RED,73,3238181_18359,"GLENMONT",0,,3,3238181
RED,73,3238127_18359,"GLENMONT",0,,3,3238127
RED,73,3238182_18359,"GLENMONT",0,,3,3238182
RED,73,3238128_18359,"GLENMONT",0,,3,3238128
RED,73,3238183_18359,"GLENMONT",0,,3,3238183
RED,73,3238129_18359,"GLENMONT",0,,3,3238129
RED,73,3238184_18359,"GLENMONT",0,,3,3238184
RED,73,3238130_18359,"GLENMONT",0,,3,3238130
RED,73,3238185_18359,"GLENMONT",0,,3,3238185
RED,73,3238131_18359,"GLENMONT",0,,3,3238131
RED,73,3238186_18359,"GLENMONT",0,,3,3238186
RED,73,3238132_18359,"GLENMONT",0,,3,3238132
RED,73,3238187_18359,"GLENMONT",0,,3,3238187
RED,73,3238133_18359,"GLENMONT",0,,3,3238133
RED,73,3238188_18359,"GLENMONT",0,,3,3238188
RED,73,3238134_18359,"GLENMONT",0,,3,3238134
RED,73,3238189_18359,"GLENMONT",0,,3,3238189
RED,73,3238135_18359,"GLENMONT",0,,3,3238135
RED,73,3238190_18359,"GLENMONT",0,,3,3238190
RED,73,3238136_18359,"GLENMONT",0,,3,3238136
RED,73,3238191_18359,"GLENMONT",0,,3,3238191
RED,73,3238137_18359,"GLENMONT",0,,3,3238137
RED,73,3238192_18359,"GLENMONT",0,,3,3238192
RED,73,3238138_18359,"GLENMONT",0,,3,3238138
RED,73,3238193_18359,"GLENMONT",0,,3,3238193
RED,73,3238139_18359,"GLENMONT",0,,3,3238139
RED,73,3238194_18359,"GLENMONT",0,,3,3238194
RED,73,3238140_18359,"GLENMONT",0,,3,3238140
RED,73,3238195_18359,"GLENMONT",0,,3,3238195
RED,73,3238141_18359,"GLENMONT",0,,3,3238141
