stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
458,20458,BRADLEY BLVD & PEMBROKE RD,,38.978149,-77.109489,,,,,,2
460,20460,BRADLEY BLVD & GOLDSBORO RD,,38.977124,-77.107084,,,,,,2
462,20462,BRADLEY BLVD & GLENBROOK RD,,38.977044,-77.105201,,,,,,2
464,20464,BRADLEY BLVD & FAIRFAX RD,,38.977556,-77.101228,,,,,,2
468,20468,BRADLEY BLVD & FAIRFAX RD,,38.977907,-77.100557,,,,,,2
470,20470,BRADLEY BLVD & GLENBROOK RD,,38.977359,-77.104787,,,,,,2
472,20472,BRADLEY BLVD & GOLDSBORO RD,,38.977349,-77.106999,,,,,,2
476,20476,BRADLEY BLVD & AUDUBON RD,,38.979488,-77.110433,,,,,,2
478,20478,BRADLEY BLVD & BRITE DR,,38.980771,-77.111792,,,,,,2
480,20480,BRADLEY BLVD & CORNISH RD,,38.981578,-77.11266,,,,,,2
482,20482,BRADLEY BLVD & DURBIN RD,,38.983353,-77.114265,,,,,,2
484,20484,BRADLEY BLVD & OLD CHESTER RD,,38.984245,-77.114761,,,,,,2
486,20486,BRADLEY BLVD & WILSON LN,BRADLEY BLV & WILSON LA,38.986005,-77.115269,,,,,,2
488,20488,BRADLEY BLVD & YORK LN,,38.989223,-77.116058,,,,,,2
490,20490,BRADLEY BLVD & ABERDEEN RD,,38.991266,-77.117601,,,,,,2
492,20492,BRADLEY BLVD & HUNTINGTON PKWY,,38.992682,-77.11837,,,,,,2
494,20494,BRADLEY BLVD & RAYBURN RD,,38.99329,-77.120369,,,,,,2
496,20496,BRADLEY BLVD & EWING DR,,38.994282,-77.122955,,,,,,2
498,20498,BRADLEY BLVD & @6115,,38.995006,-77.124159,,,,,,2
500,20500,BRADLEY BLVD & VALLEY RD,,38.995861,-77.126587,,,,,,2
502,20502,BRADLEY BLVD & WOODHAVEN BLVD,,38.99664,-77.129212,,,,,,2
504,20504,BRADLEY BLVD & FALLEN OAK DR,,38.998131,-77.130966,,,,,,2
506,20506,BRADLEY BLVD & HILLMEAD RD,,39.001153,-77.1323,,,,,,2
508,20508,BRADLEY BLVD & FERNWOOD RD,,39.003254,-77.134784,,,,,,2
510,20510,BRADLEY BLVD & BURNING TREE RD,,39.003869,-77.137501,,,,,,2
512,20512,BRADLEY BLVD & BURDETTE RD,,39.005383,-77.14032,,,,,,2
514,20514,BRADLEY BLVD & OAK FOREST LN,,39.005205,-77.145366,,,,,,2
516,20516,BRADLEY BLVD & REDWOOD AVE,,39.006764,-77.147895,,,,,,2
518,20518,BRADLEY BLVD & @7327,,39.008236,-77.149803,,,,,,2
520,20520,BRADLEY BLVD & @7501,,39.010181,-77.153325,,,,,,2
522,20522,BRADLEY BLVD & @7601,,39.011795,-77.15543,,,,,,2
523,20523,BRADLEY BLVD & @7701,,39.012573,-77.156926,,,,,,2
524,20524,BRADLEY BLVD & SEVEN LOCKS RD,,39.012218,-77.159369,,,,,,2
528,20528,BRADMOOR DR & ROOSEVELT ST,,38.99418,-77.119132,,,,,,2
530,20530,BRADMOOR DR & MCKINLEY ST,,38.996118,-77.118958,,,,,,2
532,20532,BRADMOOR DR & MADISON ST,,38.997723,-77.119362,,,,,,2
534,20534,BRADMOOR DR & GREENTREE RD,,39.000805,-77.121193,,,,,,2
536,20536,BRADMOOR DR & ROLSTON RD,,39.001835,-77.121155,,,,,,2
538,20538,BRADMOOR DR & EWING DR,,39.003018,-77.123098,,,,,,2
540,20540,BRADMOOR DR & LINDALE DR,,39.002035,-77.121563,,,,,,2
542,20542,BRADMOOR DR & GREENTREE RD,,39.000793,-77.121292,,,,,,2
544,20544,BRADMOOR DR & MADISON ST,,38.998013,-77.119926,,,,,,2
546,20546,BRADMOOR DR & MCKINLEY ST,,38.996548,-77.119121,,,,,,2
548,20548,BRADMOOR DR & ROOSEVELT ST,,38.994385,-77.119368,,,,,,2
550,20550,BRADMOOR DR & BRADLEY BLVD,,38.993348,-77.119027,,,,,,2
552,20552,BRIGGS CHANEY RD & HAROLD RD,,39.100221,-76.976936,,,,,,2
554,20554,BRIGGS CHANEY RD & CLAUDE LN,,39.098915,-76.973442,,,,,,2
556,20556,BRIGGS CHANEY RD & STURTEVANT RD,,39.097065,-76.971313,,,,,,2
558,20558,BRIGGS CHANEY RD & PEACH ORCHARD RD,,39.095202,-76.969304,,,,,,2
560,20560,BRIGGS CHANEY RD & CANTRELL RD,,39.093388,-76.968048,,,,,,2
562,20562,BRIGGS CHANEY RD & CREST HILL LN,,39.091114,-76.966789,,,,,,2
564,20564,BRIGGS CHANEY RD & NEES LN,,39.087295,-76.96121,,,,,,2
566,20566,BRIGGS CHANEY RD & FAIRDALE RD,,39.086876,-76.958403,,,,,,2
568,20568,BRIGGS CHANEY RD & OLD COLUMBIA PK,,39.084702,-76.951995,,,,,,2
570,20570,BRIGGS CHANEY RD & AVONSHIRE LN,,39.083996,-76.950437,,,,,,2
574,20574,BRIGGS CHANEY RD & CASTLE BLVD,,39.081494,-76.946487,,,,,,2
576,20576,BRIGGS CHANEY RD & AVONSHIRE LN,,39.084132,-76.950097,,,,,,2
578,20578,BRIGGS CHANEY RD & OLD COLUMBIA PK,,39.084702,-76.951775,,,,,,2
580,20580,BRIGGS CHANEY RD & FAIRDALE RD,,39.087018,-76.958845,,,,,,2
582,20582,BRIGGS CHANEY RD & NEES LN,,39.087281,-76.960616,,,,,,2
584,20584,BRIGGS CHANEY RD & GREAT OAK LN,,39.090989,-76.96653,,,,,,2
586,20586,BRIGGS CHANEY RD & CANTRELL RD,,39.092953,-76.967628,,,,,,2
588,20588,BRIGGS CHANEY RD & PEACH ORCHARD RD,,39.095095,-76.969005,,,,,,2
590,20590,BRIGGS CHANEY RD & STURTEVANT RD,,39.097063,-76.97114,,,,,,2
594,20594,BRIGGS CHANEY RD & FIRESIDE DR,,39.100938,-76.978554,,,,,,2
596,20596,BRIGGS CHANEY RD & GOOD HOPE RD,,39.101616,-76.980408,,,,,,2
600,20600,BROAD ST & 61ST ST,,38.940552,-77.119217,,,,,,2
602,20602,BROAD ST & 63RD ST,,38.942059,-77.120056,,,,,,2
604,20604,BROAD ST & MARYLAND AVE,,38.944228,-77.121084,,,,,,2
606,20606,BROAD GREEN DR & BEDFORDSHIRE AVE,,39.039615,-77.203629,,,,,,2
608,20608,BROAD GREEN DR & BEDFORDSHIRE AVE,,39.039628,-77.203872,,,,,,2
610,20610,BROADWOOD DR & LEWIS AVE,,39.0728,-77.131461,,,,,,2
612,20612,BROADWOOD DR & HENRY RD,,39.073323,-77.128734,,,,,,2
614,20614,BROADWOOD DR & CRAWFORD DR,,39.074836,-77.126609,,,,,,2
616,20616,BROADWOOD DR & CORAL SEA AVE,,39.075535,-77.12558,,,,,,2
618,20618,BROADWOOD DR & VEIRS MILL RD,,39.076931,-77.123779,,,,,,2
620,20620,BROADWOOD DR & CORAL SEA DR,,39.075752,-77.125451,,,,,,2
622,20622,BROADWOOD DR & CRAWFORD DR,,39.075161,-77.126297,,,,,,2
624,20624,BROADWOOD DR & HENRY RD,,39.073347,-77.128881,,,,,,2
626,20626,BROADWOOD DR & LEWIS AVE,,39.072876,-77.131607,,,,,,2
628,20628,BROCK DR & DEVERE DR,,39.021534,-76.989777,,,,,,2
632,20632,CRESTHAVEN DR & @1001,CRESTHAVEN DR & #1001,39.01952,-76.992371,,,,,,2
634,20634,LYTTONVILLE OPERATIONS CNTR. &,,38.998525,-77.057,,,,,,2
636,20636,BROOKVILLE RD & BROOKVILLE RD,,38.998859,-77.055908,,,,,,2
638,20638,BROOKVILLE RD & LYTTONSVILLE PL,,39.000231,-77.05483,,,,,,2
640,20640,BROOKVILLE RD & LYTTONSVILLE PL,,39.000336,-77.054968,,,,,,2
642,20642,BROOKVILLE RD & BROOKVILLE RD,,38.998825,-77.0563,,,,,,2
644,20644,BROSCHART RD & MEDICAL CENTER DR,,39.098988,-77.201653,,,,,,2
646,20646,BROSCHART RD & @14901,,39.099972,-77.201141,,,,,,2
652,20652,BROSCHART RD & MEDICAL CENTER DR,,39.099144,-77.201872,,,,,,2
654,20654,BRUNETT AVE & LYCOMING ST,,39.010898,-77.021681,,,,,,2
656,20656,BRUNETT AVE & LORAIN AVE,,39.012646,-77.021713,,,,,,2
658,20658,BRUNETT AVE & GRAYSON AVE,,39.015446,-77.021145,,,,,,2
660,20660,BRUNETT AVE & FOREST GLEN RD,BRUNETT AVE & DALLAS AVE,39.016171,-77.021679,,,,,,2
662,20662,BRUNETT AVE & GUILFORD ST,,39.015849,-77.021574,,,,,,2
664,20664,BRUNETT AVE & LORAIN AVE,,39.012257,-77.021736,,,,,,2
666,20666,BRUNETT AVE & LYCOMING ST,,39.010303,-77.021858,,,,,,2
680,20680,BULLS RUN PKWY & WILMETT RD,,39.00875,-77.126179,,,,,,2
682,20682,BULLS RUN PKWY & MELVERN DR,,39.01038,-77.125114,,,,,,2
684,20684,BULLS RUN PKWY & NOWELL DR,,39.011834,-77.123602,,,,,,2
686,20686,BULLS RUN PKWY & RYLAND DR,,39.013068,-77.122999,,,,,,2
688,20688,BULLS RUN PKWY & SINGLETON DR,,39.014234,-77.123154,,,,,,2
690,20690,BULLS RUN PKWY & BECK CT,,39.012734,-77.123428,,,,,,2
692,20692,BULLS RUN PKWY & NOWELL DR,,39.011826,-77.123962,,,,,,2
694,20694,BULLS RUN PKWY & MELVERN DR,,39.010731,-77.125069,,,,,,2
696,20696,BULLS RUN PKWY & WILMETT RD,,39.008783,-77.126392,,,,,,2
702,20702,BURLINGTON AVE & RR BRIDGE,,38.987309,-77.026009,,,,,,2
704,20704,BURLINGTON AVE & SELIM RD,,38.987772,-77.024465,,,,,,2
706,20706,BURRIS RD & BROADWOOD DR,,39.076565,-77.123848,,,,,,2
708,20708,CABIN JOHN PKWY & LYNFIELD DR,,39.074991,-77.151413,,,,,,2
710,20710,CABIN JOHN PKWY & MONROE ST,,39.075511,-77.152757,,,,,,2
712,20712,CABIN JOHN PKWY & LYNFIELD DR,,39.074861,-77.151411,,,,,,2
714,20714,CABIN JOHN PKWY & EDMONSTON DR,,39.07262,-77.15097,,,,,,2
716,20716,CAPITOL VIEW AVE & MEREDITH AVE,,39.023045,-77.066185,,,,,,2
718,20718,CAPITOL VIEW AVE & @10225,,39.023229,-77.064946,,,,,,2
720,20720,CAPITOL VIEW AVE & LEE ST,,39.021255,-77.062082,,,,,,2
722,20722,CAPITOL VIEW AVE & PRATT PL,,39.020523,-77.060844,,,,,,2
724,20724,CAPITOL VIEW AVE & LEAFY AVE,,39.018494,-77.059067,,,,,,2
726,20726,CAPITOL VIEW AVE & BEECHBANK RD,,39.016129,-77.057907,,,,,,2
728,20728,CAPITOL VIEW AVE & BEECHBANK RD,,39.016133,-77.057762,,,,,,2
730,20730,CAPITOL VIEW AVE & LEAFY AVE,,39.018607,-77.058973,,,,,,2
732,20732,CAPITOL VIEW AVE & GRANT AVE,,39.020644,-77.060829,,,,,,2
734,20734,CAPITOL VIEW AVE & LEE AVE,,39.022259,-77.062309,,,,,,2
736,20736,CAPITOL VIEW AVE & DRUMM AVE,,39.023301,-77.062443,,,,,,2
738,20738,CAPITOL VIEW AVE & @10225,,39.023304,-77.065163,,,,,,2
740,20740,CAPITOL VIEW AVE & MEREDITH AVE,,39.023129,-77.066086,,,,,,2
742,20742,CARROLL AVE & MAPLE AVE,,38.974798,-77.014506,,,,,,2
744,20744,CARROLL AVE & LAUREL AVE,,38.97466,-77.012549,,,,,,2
746,20746,CARROLL AVE & TULIP AVE,,38.97517,-77.01004,,,,,,2
