route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_1,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_13,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_2,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_3,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_4,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_5,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_6,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_7,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_8,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_9,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_10,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_11,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475998_b_30444_tn_12,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_9,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_7,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_6,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_5,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_4,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_3,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_2,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_13,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_12,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_11,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_1,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_10,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_31,t_1475999_b_30444_tn_8,,Towne Centre Laurel,1,301-1,p_788158,,1,,,,,,,,
301,c_21722_b_30444_d_32,t_1475997_b_30444_tn_1,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_32,t_1475997_b_30444_tn_9,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_32,t_1475997_b_30444_tn_8,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_32,t_1475997_b_30444_tn_7,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_32,t_1475997_b_30444_tn_6,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
301,c_21722_b_30444_d_32,t_1475997_b_30444_tn_5,,South Laurel,0,301-1,p_788157,,1,,,,,,,,
